Date,Close/Last,Volume,Open,High,Low
05/23/2025,$96.34,13668620,$95.34,$96.54,$95.00
05/22/2025,$95.93,13712160,$96.54,$96.96,$95.815
05/21/2025,$96.43,15742340,$97.125,$97.7556,$95.975
05/20/2025,$97.80,15609610,$98.555,$98.8183,$96.52
05/19/2025,$98.12,20041570,$96.65,$98.28,$95.81
05/16/2025,$98.24,33746190,$96.14,$99.1946,$95.995
05/15/2025,$96.35,44026130,$94.30,$96.72,$91.89
05/14/2025,$96.83,25620110,$96.025,$97.33,$95.83
05/13/2025,$95.88,19746660,$96.50,$97.32,$95.225
05/12/2025,$96.75,26783930,$97.67,$97.97,$95.62
05/09/2025,$96.72,13697820,$96.75,$97.20,$96.29
05/08/2025,$97.43,14461120,$98.75,$99.33,$97.355
05/07/2025,$98.83,11310190,$98.55,$99.2308,$98.31
05/06/2025,$98.55,10626000,$98.74,$99.47,$98.41
05/05/2025,$99.33,12439130,$98.94,$99.74,$98.53
05/02/2025,$98.75,16031370,$97.95,$99.22,$97.85
05/01/2025,$97.41,13171780,$97.015,$97.90,$96.59
04/30/2025,$97.25,21639860,$95.94,$97.78,$94.93
04/29/2025,$96.04,12679030,$94.84,$96.18,$94.42
04/28/2025,$95.22,12950000,$95.10,$96.00,$94.34
04/25/2025,$95.09,15317220,$95.80,$96.47,$94.36
04/24/2025,$95.84,13444530,$94.71,$96.215,$93.6601
04/23/2025,$94.96,18046890,$95.0164,$96.60,$94.1619
04/22/2025,$94.85,15407770,$92.88,$95.29,$92.88
04/21/2025,$92.41,18361210,$93.02,$94.08,$91.34
04/17/2025,$93.22,21393920,$91.83,$93.87,$91.62
04/16/2025,$91.19,22229110,$94.00,$94.30,$90.61
04/15/2025,$93.97,21871210,$94.82,$96.03,$93.87
04/14/2025,$94.73,27742920,$93.27,$95.44,$92.90
04/11/2025,$92.80,25508140,$90.68,$93.35,$90.01
04/10/2025,$90.61,34735320,$88.73,$91.87,$88.1634
04/09/2025,$89.60,46632760,$83.325,$90.80,$83.02
04/08/2025,$81.79,34351740,$85.85,$86.965,$81.03
04/07/2025,$83.83,36884940,$80.24,$86.26,$79.81
04/04/2025,$83.19,36209020,$85.64,$87.39,$82.65
04/03/2025,$87.26,33012930,$86.28,$89.88,$86.28
04/02/2025,$89.76,19384140,$88.20,$90.145,$88.1175
04/01/2025,$88.83,22080250,$87.535,$89.11,$87.37
03/31/2025,$87.79,30269310,$84.76,$88.20,$84.37
03/28/2025,$85.15,14790570,$85.43,$85.83,$84.70
03/27/2025,$85.63,16782810,$84.775,$86.11,$84.775
03/26/2025,$85.21,27241500,$85.19,$85.56,$84.57
03/25/2025,$84.76,27908570,$86.76,$87.305,$84.62
03/24/2025,$87.49,17900730,$86.47,$87.65,$86.35
03/21/2025,$85.98,26797180,$85.28,$86.23,$84.78
03/20/2025,$85.81,18185510,$85.81,$87.08,$85.515
03/19/2025,$86.33,24555860,$85.95,$86.785,$85.62
03/18/2025,$85.59,17850930,$87.44,$87.675,$85.50
03/17/2025,$87.46,26297770,$85.13,$87.985,$84.98
03/14/2025,$85.35,35500650,$84.96,$85.37,$84.06
03/13/2025,$84.50,31507750,$84.94,$85.45,$83.87
03/12/2025,$85.20,33301610,$87.88,$89.10,$84.88
03/11/2025,$87.44,28687590,$87.29,$89.345,$87.14
03/10/2025,$87.82,35148840,$89.76,$90.23,$86.61
03/07/2025,$91.72,35913160,$93.94,$93.95,$90.76
03/06/2025,$94.64,19957800,$94.80,$96.19,$94.1833
03/05/2025,$95.98,17638960,$94.97,$96.39,$94.75
03/04/2025,$94.97,25227670,$95.76,$97.05,$94.46
03/03/2025,$97.59,18372190,$97.98,$99.49,$96.825
02/28/2025,$98.61,25451260,$97.79,$98.86,$97.17
02/27/2025,$96.79,16431470,$95.90,$98.0399,$95.8092
02/26/2025,$96.20,19069720,$97.70,$98.725,$96.07
02/25/2025,$97.69,29331190,$94.35,$97.91,$94.24
02/24/2025,$93.67,29755880,$94.18,$94.64,$92.12
02/21/2025,$94.78,35014810,$96.53,$96.85,$94.115
02/20/2025,$97.21,55450920,$98.78,$100.12,$96.6808
02/19/2025,$104.00,18507980,$103.85,$104.20,$102.55
02/18/2025,$103.78,18247310,$103.72,$103.99,$102.51
02/14/2025,$104.04,14109460,$105.30,$105.30,$103.60
02/13/2025,$105.05,12604410,$104.00,$105.24,$103.53
02/12/2025,$103.61,15162130,$102.12,$103.90,$102.04
02/11/2025,$102.47,11953630,$102.62,$102.85,$101.85
02/10/2025,$102.92,15274640,$101.95,$102.93,$101.25
02/07/2025,$101.15,12451070,$103.00,$103.11,$101.11
02/06/2025,$102.85,13088470,$102.53,$103.02,$101.94
02/05/2025,$102.46,15926720,$100.65,$102.58,$100.54
02/04/2025,$100.77,15201190,$99.97,$100.95,$99.69
02/03/2025,$99.54,20484150,$96.77,$99.79,$96.47
01/31/2025,$98.16,16413890,$99.00,$99.00,$97.70
01/30/2025,$98.65,11012220,$97.69,$98.93,$97.42
01/29/2025,$97.50,11261440,$97.425,$98.17,$97.22
01/28/2025,$97.29,14641620,$97.23,$97.84,$96.7251
01/27/2025,$97.40,18880610,$95.90,$97.46,$94.82
01/24/2025,$94.76,14973770,$93.54,$95.01,$93.455
01/23/2025,$93.81,14198440,$92.96,$93.81,$92.32
01/22/2025,$93.23,15567060,$93.77,$94.00,$92.52
