Date,Close/Last,Volume,Open,High,Low
05/23/2025,$169.59,24963650,$170.28,$171.205,$169.26
05/22/2025,$171.98,45024080,$173.35,$178.13,$171.88
05/21/2025,$170.06,45567580,$164.95,$174.53,$164.89
05/20/2025,$165.32,33563270,$167.76,$169.68,$164.26
05/19/2025,$167.87,21374690,$165.715,$167.95,$165.415
05/16/2025,$167.43,36271380,$168.93,$170.65,$166.95
05/15/2025,$165.40,22717550,$167.14,$167.51,$163.84
05/14/2025,$166.81,31769210,$161.31,$168.34,$160.93
05/13/2025,$160.89,24944270,$159.92,$162.06,$157.58
05/12/2025,$159.58,31884900,$159.10,$160.44,$157.8898
05/09/2025,$154.38,22871040,$155.55,$156.43,$153.83
05/08/2025,$155.75,38387510,$155.92,$157.41,$154.10
05/07/2025,$152.80,78900430,$166.07,$166.99,$149.4901
05/06/2025,$165.20,10691950,$163.96,$166.74,$163.13
05/05/2025,$166.05,15309340,$164.515,$167.10,$164.47
05/02/2025,$165.81,16844940,$164.955,$166.70,$163.66
05/01/2025,$162.79,21904290,$162.52,$163.94,$160.93
04/30/2025,$160.89,20639520,$159.86,$161.374,$157.155
04/29/2025,$162.06,15955220,$162.045,$162.68,$159.39
04/28/2025,$162.42,20871150,$164.26,$164.95,$160.3801
04/25/2025,$163.85,35148050,$167.10,$168.24,$163.00
04/24/2025,$161.47,30787480,$158.525,$161.71,$158.09
04/23/2025,$157.72,18575740,$157.91,$160.02,$156.35
04/22/2025,$153.90,15910330,$151.07,$154.61,$150.87
04/21/2025,$149.86,16147780,$150.965,$151.06,$148.40
04/17/2025,$153.36,19513410,$156.61,$157.07,$150.90
04/16/2025,$155.50,16921500,$155.47,$158.18,$153.91
04/15/2025,$158.68,15690780,$161.57,$162.05,$157.645
04/14/2025,$161.47,18255930,$162.31,$164.03,$159.92
04/11/2025,$159.40,22581990,$155.585,$159.86,$155.585
04/10/2025,$155.37,35270540,$158.76,$160.03,$152.20
04/09/2025,$161.06,46479540,$146.33,$161.87,$145.81
04/08/2025,$146.58,35304390,$153.575,$154.44,$145.21
04/07/2025,$149.24,47823020,$143.39,$154.93,$142.66
04/04/2025,$147.74,39832210,$149.90,$153.09,$147.54
04/03/2025,$152.63,28416070,$152.835,$154.6872,$152.18
04/02/2025,$158.86,17113320,$156.96,$160.275,$156.53
04/01/2025,$158.88,20111380,$155.30,$160.08,$155.255
03/31/2025,$156.23,33591550,$154.81,$157.13,$152.21
03/28/2025,$156.06,34866460,$162.36,$163.81,$155.3394
03/27/2025,$164.08,21571170,$166.71,$167.44,$163.85
03/26/2025,$167.14,22554240,$171.30,$171.9396,$166.8606
03/25/2025,$172.79,13841590,$171.18,$172.91,$170.55
03/24/2025,$169.93,18742850,$169.265,$170.50,$167.44
03/21/2025,$166.25,29882060,$163.38,$166.47,$163.03
03/20/2025,$165.05,19981510,$163.825,$167.03,$163.14
